Date,Session1,Session2,Session3,Session4
2026-03-10,BSQT 1,BSQT 2,,
2026-03-12,FIAC 1,FIAC 2,,
2026-03-14,FIAC 3,FIAC 4,,
2026-03-17,BSQT 3,BSQT 4,,
2026-03-19,BSQT 5,BSQT 6,,
2026-03-21,FIAC 5,FIAC 6,,
2026-03-22,FIAC 7,FIAC 8,,
2026-03-24,FIAC 9,FIAC 10,,
2026-03-26,MKMT 1,MKMT 2,,
2026-03-28,MKMT 3,MKMT 4,,
2026-03-29,FIAC 11,FIAC 12,,
2026-03-31,MAEC 1,MAEC 2,,
2026-04-02,BSQT 7,BSQT 8,,
2026-04-04,FIAC 13,FIAC 14,,
2026-04-07,BSQT 9,BSQT 10,,
2026-04-09,Free Slot,Free Slot,,
2026-04-11,ORBE 1,ORBE 2,ORBE 1?,
2026-04-12,FIAC 15,FIAC 16,,
2026-04-14,MAEC 3,MAEC 4,,
2026-04-16,MKMT 5,MKMT 6,,
2026-04-18,FIAC 17,FIAC 18,,
2026-04-19,BSQT 11,BSQT 12,,
2026-04-21,MKMT 7,MKMT 8,,
2026-04-23,MAEC 5,MAEC 6,,
2026-04-26,ORBE 3,ORBE 4,,
2026-04-30,MKMT 9,MKMT 10,,
2026-05-02,FIAC 19,FIAC 20,,
2026-05-03,BSQT 13,BSQT 14,ORBE 5,ORBE 6
2026-05-07,ORBE 7,ORBE 8,,
2026-05-09,ORBE 9,ORBE 10,,
2026-05-10,BSQT 15,BSQT 16,IDD 9,IDD 10
2026-05-14,ORBE 11,ORBE 12,,
2026-05-16,BSQT 17,BSQT 18,,
2026-05-19,BSQT 19,BSQT 20,,
2026-05-21,ORBE 13,ORBE 14,,
2026-05-23,MAEC 7,MAEC 8,,
2026-05-24,MAEC 9,MAEC 10,Free Slot,Free Slot
2026-05-26,MAEC 11,MAEC 12,,
2026-05-28,MKMT 11,MKMT 12,,
2026-05-30,MKMT 13,MKMT 14,,
2026-05-31,MAEC 13,MAEC 14,Free Slot,Free Slot
2026-06-02,MAEC 15,MAEC 16,,
2026-06-04,ORBE 15,ORBE 16,,
2026-06-06,MKMT 15,MKMT 16,,
2026-06-07,MAEC 17,MAEC 18,ORBE 17,ORBE 18
2026-06-09,MKMT 17,MKMT 18,,
2026-06-11,MKMT 19,MKMT 20,,
2026-06-13,MAEC 19,MAEC 20,,
2026-06-14,ORBE 19,ORBE 20,,
